,mean test r,Parcellation,Feature Class,ROI / Num Features,Weighting,Trait,Subject Selection
261,0.16746024472004917,056_C,PCA,90,FA,Cognition,all
262,0.1699116487913401,056_C,PCA,100,FA,Cognition,all
263,0.18067408073228955,056_C,PCA,150,FA,Cognition,all
264,0.17833893675312892,056_C,PCA,200,FA,Cognition,all
265,0.14422082393577584,056_C,PCA,56,FA,Cognition,all
266,-0.021073808552292714,056_C,PCA,1,NOS,Cognition,all
267,-0.0333657607531263,056_C,PCA,2,NOS,Cognition,all
268,-0.031079746815914563,056_C,PCA,3,NOS,Cognition,all
269,0.0032724387038160145,056_C,PCA,4,NOS,Cognition,all
270,-0.018998165402266166,056_C,PCA,5,NOS,Cognition,all
271,-0.05323086323016073,056_C,PCA,10,NOS,Cognition,all
272,0.1581022547347467,056_C,PCA,15,NOS,Cognition,all
273,0.14326026745633205,056_C,PCA,20,NOS,Cognition,all
274,0.1422322818219062,056_C,PCA,30,NOS,Cognition,all
275,0.14134092038306456,056_C,PCA,40,NOS,Cognition,all
276,0.1495543973623351,056_C,PCA,50,NOS,Cognition,all
277,0.18741327660185264,056_C,PCA,60,NOS,Cognition,all
278,0.2052376664654778,056_C,PCA,70,NOS,Cognition,all
279,0.19929785686992088,056_C,PCA,80,NOS,Cognition,all
280,0.19390639766089549,056_C,PCA,90,NOS,Cognition,all
281,0.1894214957278159,056_C,PCA,100,NOS,Cognition,all
282,0.19934490467356947,056_C,PCA,150,NOS,Cognition,all
283,0.1998878837183015,056_C,PCA,200,NOS,Cognition,all
284,0.17621374908216036,056_C,PCA,56,NOS,Cognition,all
285,0.02840135467260734,056_M,PCA,1,MD,Cognition,all
286,-0.020233757075805117,056_M,PCA,2,MD,Cognition,all
287,0.016372525127560305,056_M,PCA,3,MD,Cognition,all
288,0.021679507260177745,056_M,PCA,4,MD,Cognition,all
289,0.008635301369409655,056_M,PCA,5,MD,Cognition,all
290,0.0350106418807211,056_M,PCA,10,MD,Cognition,all
291,0.015201226024201299,056_M,PCA,15,MD,Cognition,all
292,0.018139309812306305,056_M,PCA,20,MD,Cognition,all
293,0.03730479812998587,056_M,PCA,30,MD,Cognition,all
294,0.03538990729397755,056_M,PCA,40,MD,Cognition,all
295,0.023081285450325284,056_M,PCA,50,MD,Cognition,all
296,0.01952204167854092,056_M,PCA,60,MD,Cognition,all
297,0.015539600716116287,056_M,PCA,70,MD,Cognition,all
298,0.011695354112202416,056_M,PCA,80,MD,Cognition,all
299,0.011852517181111341,056_M,PCA,90,MD,Cognition,all
300,0.01076443349139936,056_M,PCA,100,MD,Cognition,all
301,-0.007313150614151761,056_M,PCA,150,MD,Cognition,all
302,-0.018078515755952686,056_M,PCA,200,MD,Cognition,all
303,0.021733566317124118,056_M,PCA,56,MD,Cognition,all
304,0.03953601491575209,056_M,PCA,1,FA,Cognition,all
305,0.00512095923669809,056_M,PCA,2,FA,Cognition,all
306,0.06922256841190548,056_M,PCA,3,FA,Cognition,all
307,0.11968785355957585,056_M,PCA,4,FA,Cognition,all
308,0.11198154083802957,056_M,PCA,5,FA,Cognition,all
309,0.09479244311184516,056_M,PCA,10,FA,Cognition,all
310,0.08628969417665056,056_M,PCA,15,FA,Cognition,all
311,0.08462737912942543,056_M,PCA,20,FA,Cognition,all
312,0.08894757370088506,056_M,PCA,30,FA,Cognition,all
313,0.0875934076086367,056_M,PCA,40,FA,Cognition,all
314,0.08169316227497879,056_M,PCA,50,FA,Cognition,all
315,0.07688520507798274,056_M,PCA,60,FA,Cognition,all
316,0.07401336996690801,056_M,PCA,70,FA,Cognition,all
317,0.07272810385737134,056_M,PCA,80,FA,Cognition,all
318,0.06911742143710338,056_M,PCA,90,FA,Cognition,all
319,0.06605525877278538,056_M,PCA,100,FA,Cognition,all
320,0.055790956526898965,056_M,PCA,150,FA,Cognition,all
321,0.05156738622205128,056_M,PCA,200,FA,Cognition,all
322,0.07844197852513628,056_M,PCA,56,FA,Cognition,all
323,-0.051322791604067594,056_M,PCA,1,NOS,Cognition,all
324,0.029603519253068797,056_M,PCA,2,NOS,Cognition,all
325,-0.0010831781709374252,056_M,PCA,3,NOS,Cognition,all
326,-0.020385026269921877,056_M,PCA,4,NOS,Cognition,all
327,-0.04044261102285,056_M,PCA,5,NOS,Cognition,all
328,0.10616553035911597,056_M,PCA,10,NOS,Cognition,all
329,0.1575483583671826,056_M,PCA,15,NOS,Cognition,all
330,0.13200258305849824,056_M,PCA,20,NOS,Cognition,all
331,0.10653180018305924,056_M,PCA,30,NOS,Cognition,all
332,0.1174816093762556,056_M,PCA,40,NOS,Cognition,all
333,0.1495092663584691,056_M,PCA,50,NOS,Cognition,all
334,0.15810085558917245,056_M,PCA,60,NOS,Cognition,all
335,0.15806757171182845,056_M,PCA,70,NOS,Cognition,all
336,0.1734999866927667,056_M,PCA,80,NOS,Cognition,all
337,0.1835644328313653,056_M,PCA,90,NOS,Cognition,all
338,0.18035907588123049,056_M,PCA,100,NOS,Cognition,all
